FPR,TPR,Threshold
0.0,0.0,1.9540610935749176
0.0,0.010752688172043012,0.9540610935749176
0.0,0.053763440860215055,0.9307335437553896
0.020833333333333332,0.053763440860215055,0.9202241784662861
0.020833333333333332,0.16129032258064516,0.8568952845090354
0.041666666666666664,0.16129032258064516,0.8564983532688458
0.041666666666666664,0.17204301075268819,0.8488143348733501
0.0625,0.17204301075268819,0.8469132827160091
0.0625,0.21505376344086022,0.8362138956767392
0.10416666666666667,0.21505376344086022,0.8343437457796595
0.10416666666666667,0.27956989247311825,0.8290754860849773
0.125,0.27956989247311825,0.8273377745797643
0.125,0.3010752688172043,0.8234460192937467
0.14583333333333334,0.3010752688172043,0.8224236437196685
0.14583333333333334,0.3118279569892473,0.8221083020479392
0.16666666666666666,0.3118279569892473,0.8213996362620352
0.16666666666666666,0.3548387096774194,0.818840509468371
0.1875,0.3548387096774194,0.8184206797037525
0.1875,0.3978494623655914,0.8146460562818589
0.25,0.3978494623655914,0.8137741409209391
0.25,0.46236559139784944,0.8069644033185278
0.2708333333333333,0.46236559139784944,0.8033112070593736
0.2708333333333333,0.5376344086021505,0.7971772993522677
0.3125,0.5376344086021505,0.7955413375557443
0.3125,0.5591397849462365,0.7916531986618875
0.3333333333333333,0.5591397849462365,0.7913358697007433
0.3333333333333333,0.7311827956989247,0.7693080158586149
0.3958333333333333,0.7311827956989247,0.7555903880704182
0.3958333333333333,0.7741935483870968,0.742020997038179
0.4166666666666667,0.7741935483870968,0.7397191148759608
0.4166666666666667,0.7849462365591398,0.7316812475550363
0.4375,0.7849462365591398,0.730036647886742
0.4375,0.8279569892473119,0.702970720684436
0.4583333333333333,0.8279569892473119,0.7027227148136654
0.4583333333333333,0.8387096774193549,0.6897009993034041
0.4791666666666667,0.8387096774193549,0.6887743001863936
0.4791666666666667,1.0,0.5533100831763011
1.0,1.0,0.09458644993511223
